drug_name,arm_id,difficulty,n_ground_truth,n_predicted,precision_at_1,precision_at_10,recall_at_1,recall_at_10,roc_auc,true_positives_at_10
Acenocoumarol,pipeline-gpt41,medium,10,2,1.0,0.5,0.1,0.1,1.0,Atrial Fibrillation
Acenocoumarol,pipeline-gpt52,medium,10,3,1.0,0.3333,0.1,0.1,1.0,atrial fibrillation
Acenocoumarol,pipeline-opus46,medium,10,4,1.0,0.5,0.1,0.4,1.0,Atrial fibrillation; Venous thromboembolism
Acenocoumarol,pipeline-sonnet45,medium,10,5,1.0,0.4,0.1,0.4,0.875,atrial fibrillation; venous thromboembolism
Acenocoumarol,websearch-gpt41,medium,10,1,0.0,0.0,0.0,0.0,,
Acenocoumarol,websearch-gpt52,medium,10,5,1.0,0.2,0.3,0.3,0.9167,"Venous thromboembolism (VTE) (deep vein thrombosis, pulmonary embolism)"
Acenocoumarol,websearch-opus46,medium,10,10,1.0,0.2,0.3,0.4,1.0,Venous Thromboembolism (VTE) -- including Deep Vein Thrombosis (DVT) and Pulmonary Embolism (PE); Atrial Fibrillation (AF)
Acenocoumarol,websearch-sonnet45,medium,10,6,1.0,0.3333,0.1,0.4,1.0,Atrial Fibrillation (with Stroke Prevention); Venous Thromboembolism (VTE) - General
Albuterol,pipeline-gpt41,easy,22,5,1.0,0.4,0.0455,0.0909,0.4688,chronic obstructive pulmonary disease; asthma
Albuterol,pipeline-gpt52,easy,22,4,1.0,0.5,0.0455,0.0909,0.6591,asthma; chronic obstructive pulmonary disease
Albuterol,pipeline-opus46,easy,22,13,1.0,0.2,0.0455,0.0909,0.5114,Asthma; Chronic obstructive pulmonary disease
Albuterol,pipeline-sonnet45,easy,22,7,1.0,0.2857,0.0455,0.0909,1.0,Asthma; Chronic Obstructive Pulmonary Disease
Albuterol,websearch-gpt41,easy,22,4,1.0,0.75,0.0455,0.1364,0.6667,Asthma; Chronic Obstructive Pulmonary Disease (COPD); Acute Hyperkalemia
Albuterol (Salbutamol),websearch-gpt52,easy,22,6,1.0,0.5,0.0455,0.1364,1.0,Asthma (including acute bronchospasm; exercise-induced bronchoconstriction); Chronic Obstructive Pulmonary Disease (COPD) — symptomatic relief (bronchospasm); Hyperkalemia (via intracellular potassium shift; common off-label/emergency adjunct)
Albuterol (Salbutamol),websearch-opus46,easy,22,11,1.0,0.3,0.0455,0.1364,0.9375,Asthma; Chronic Obstructive Pulmonary Disease (COPD); Hyperkalemia
Albuterol,websearch-sonnet45,easy,22,6,1.0,0.5,0.0455,0.1364,0.7778,Asthma; Chronic Obstructive Pulmonary Disease (COPD); Hyperkalemia
Azacitidine,pipeline-gpt41,easy,16,7,1.0,0.5714,0.0625,0.3125,0.9688,Myelodysplastic syndrome; Acute myeloid leukemia; Chronic myelomonocytic leukemia; Leukemia
Azacitidine,pipeline-gpt52,easy,16,5,1.0,0.8,0.0625,0.3125,0.9,myelodysplastic syndrome; acute myeloid leukemia; chronic myelomonocytic leukemia; leukemia
Azacitidine,pipeline-opus46,easy,16,9,1.0,0.3333,0.0625,0.25,1.0,Myelodysplastic syndrome; Acute myeloid leukemia; Chronic myelomonocytic leukemia
Azacitidine,pipeline-sonnet45,easy,16,8,1.0,0.5,0.0625,0.3125,0.875,myelodysplastic syndrome; acute myeloid leukemia; chronic myelomonocytic leukemia; leukemia
azacitidine,websearch-gpt41,easy,16,3,1.0,1.0,0.0625,0.25,1.0,Myelodysplastic Syndromes; Acute Myeloid Leukemia; Chronic Myelomonocytic Leukemia
Azacitidine,websearch-gpt52,easy,16,4,1.0,0.75,0.0625,0.25,1.0,Myelodysplastic syndromes (MDS); Acute myeloid leukemia (AML); Chronic myelomonocytic leukemia (CMML)
Azacitidine,websearch-opus46,easy,16,9,1.0,0.3333,0.0625,0.25,1.0,Myelodysplastic Syndromes (MDS); Acute Myeloid Leukemia (AML); Chronic Myelomonocytic Leukemia (CMML)
Azacitidine,websearch-sonnet45,easy,16,6,1.0,0.5,0.0625,0.25,1.0,Myelodysplastic Syndrome; Acute Myeloid Leukemia; Chronic Myelomonocytic Leukemia
Benserazide,pipeline-gpt41,medium,10,1,1.0,1.0,0.1,0.1,,Parkinson disease
Benserazide,pipeline-gpt52,medium,10,1,1.0,1.0,0.1,0.1,,Parkinson disease
Benserazide,pipeline-opus46,medium,10,2,1.0,0.5,0.1,0.1,1.0,Parkinson disease
Benserazide,pipeline-sonnet45,medium,10,2,1.0,0.5,0.1,0.1,1.0,Parkinson disease
Benserazide,websearch-gpt41,medium,10,3,1.0,0.3333,0.1,0.1,1.0,Parkinson’s Disease
Benserazide,websearch-gpt52,medium,10,5,1.0,0.2,0.1,0.1,1.0,Parkinson’s disease (and parkinsonian syndromes)
Benserazide,websearch-opus46,medium,10,7,1.0,0.1429,0.1,0.1,1.0,Parkinson's Disease
Benserazide,websearch-sonnet45,medium,10,4,1.0,0.25,0.1,0.1,1.0,Parkinson's Disease
"benserazide, levodopa drug combination",pipeline-gpt41,hard,15,1,1.0,1.0,0.0667,0.0667,,Parkinson's disease
"benserazide, levodopa drug combination",pipeline-gpt52,hard,15,0,0.0,0.0,0.0,0.0,,
"benserazide, levodopa drug combination",pipeline-opus46,hard,15,6,1.0,0.3333,0.0667,0.1333,0.875,Parkinson's disease; Restless legs syndrome
"benserazide, levodopa drug combination",pipeline-sonnet45,hard,15,3,1.0,0.6667,0.0667,0.1333,1.0,Parkinson's disease; restless legs syndrome
benserazide/levodopa,websearch-gpt41,hard,15,3,1.0,0.6667,0.0667,0.1333,1.0,Parkinson's disease; Restless Legs Syndrome
Benserazide/Levodopa,websearch-opus46,hard,15,7,1.0,0.2857,0.0667,0.1333,0.9,Parkinson Disease; Restless Legs Syndrome / Periodic Limb Movement in Sleep
Benserazide-Levodopa,websearch-sonnet45,hard,15,6,1.0,0.3333,0.0667,0.1333,0.85,Parkinson's disease; Restless legs syndrome
Betaine,pipeline-gpt41,hard,29,2,1.0,0.5,0.0345,0.0345,1.0,homocystinuria
Betaine,pipeline-gpt52,hard,29,2,1.0,0.5,0.0345,0.0345,1.0,homocystinuria
BETAINE,pipeline-sonnet45,hard,29,4,1.0,0.25,0.0345,0.0345,1.0,homocystinuria
betaine,websearch-gpt41,hard,29,7,1.0,0.1429,0.0345,0.0345,1.0,Homocystinuria (Cystathionine Beta-Synthase [CBS] Deficiency)
Betaine (trimethylglycine),websearch-gpt52,hard,29,5,0.0,0.0,0.0,0.0,,
Betaine,websearch-opus46,hard,29,9,1.0,0.2222,0.0345,0.069,1.0,Homocystinuria; Alcoholic Liver Disease
Betaine,websearch-sonnet45,hard,29,6,1.0,0.3333,0.0345,0.069,0.8125,Homocystinuria (Classical CBS Deficiency); Alcoholic liver disease
Betamethasone,pipeline-gpt41,medium,23,12,1.0,0.3,0.0435,0.087,0.8636,psoriasis; newborn respiratory distress syndrome; acute respiratory distress syndrome (ARDS)
Betamethasone,pipeline-gpt52,medium,23,8,1.0,0.375,0.0435,0.087,0.7667,Psoriasis; Newborn respiratory distress syndrome (RDS); Acute respiratory distress syndrome (ARDS)
Betamethasone,pipeline-opus46,medium,23,15,1.0,0.3,0.0435,0.087,0.9222,Psoriasis; Newborn respiratory distress syndrome; Acute respiratory distress syndrome
Betamethasone,pipeline-sonnet45,medium,23,13,1.0,0.5,0.0435,0.1739,0.94,Newborn Respiratory Distress Syndrome; Atopic Dermatitis; Psoriasis; Acute Respiratory Distress Syndrome; Rheumatoid Arthritis
Betamethasone,websearch-gpt41,medium,23,11,1.0,0.4,0.0435,0.1739,0.9643,Neonatal respiratory distress syndrome (RDS); Psoriasis; Atopic dermatitis; Rheumatoid arthritis
Betamethasone,websearch-gpt52,medium,23,17,0.0,0.4,0.0,0.1739,0.8269,Atopic dermatitis; Rheumatoid arthritis; Contact dermatitis; Psoriasis
Betamethasone,websearch-opus46,medium,23,8,0.0,0.375,0.0,0.1304,0.8,Psoriasis; Atopic Dermatitis / Eczema; Rheumatoid Arthritis
Betamethasone,websearch-sonnet45,medium,23,9,0.0,0.3333,0.0,0.1304,0.75,Rheumatoid Arthritis; Psoriasis; Atopic Dermatitis
BUMETANIDE,pipeline-gpt41,hard,10,7,0.0,0.4286,0.0,0.3,0.75,kidney disease; heart failure; nephrotic syndrome
Bumetanide,pipeline-gpt52,hard,10,6,1.0,0.5,0.1,0.3,0.8333,heart failure; nephrotic syndrome; kidney disease
Bumetanide,pipeline-opus46,hard,10,9,0.0,0.3333,0.0,0.3,0.8571,Hypertension (cardiovascular disease); Nephrotic syndrome; Kidney disease (chronic kidney disease)
Bumetanide,pipeline-sonnet45,hard,10,8,1.0,0.375,0.1,0.3,0.6667,Heart failure; Nephrotic syndrome; Kidney disease
Bumetanide,websearch-gpt41,hard,10,5,1.0,0.4,0.1,0.2,1.0,"Edema (including heart failure, liver cirrhosis, nephrotic syndrome); Hypertension"
Bumetanide,websearch-opus46,hard,10,8,1.0,0.25,0.1,0.2,1.0,Edema / Congestive Heart Failure; Hypertension
Bumetanide,websearch-sonnet45,hard,10,6,0.0,0.0,0.0,0.0,,
Celecoxib,pipeline-gpt41,medium,52,7,1.0,0.5714,0.0192,0.0769,0.7083,Osteoarthritis; Pain (including Dysmenorrhea and Neuropathic Pain); Familial adenomatous polyposis; Colorectal neoplasm (including Colorectal cancer)
Celecoxib,pipeline-gpt52,medium,52,8,1.0,0.25,0.0192,0.0385,0.697,Osteoarthritis (including knee/hip); Familial adenomatous polyposis
Celecoxib,pipeline-opus46,medium,52,16,1.0,0.4,0.0192,0.0769,0.7188,Osteoarthritis; Pain; Familial adenomatous polyposis; Gout
Celecoxib,pipeline-sonnet45,medium,52,16,1.0,0.3,0.0192,0.0577,0.625,Osteoarthritis; Familial Adenomatous Polyposis; Colorectal Neoplasm
celecoxib,websearch-gpt41,medium,52,7,1.0,0.2857,0.0192,0.0385,0.6667,Osteoarthritis; Familial adenomatous polyposis (FAP) / Colorectal adenomas
Celecoxib,websearch-gpt52,medium,52,6,1.0,0.3333,0.0192,0.0385,0.6667,Osteoarthritis; Familial adenomatous polyposis (FAP)
Celecoxib,websearch-opus46,medium,52,10,1.0,0.2,0.0192,0.0385,0.8125,Osteoarthritis; Familial Adenomatous Polyposis / Colorectal Adenoma Prevention
Celecoxib,websearch-sonnet45,medium,52,6,1.0,0.1667,0.0192,0.0192,0.9167,Osteoarthritis
Cilostazol,pipeline-gpt41,hard,14,6,0.0,0.3333,0.0,0.1429,0.5,Ischemic stroke; Heart failure
Cilostazol,pipeline-gpt52,hard,14,4,0.0,0.25,0.0,0.0714,0.7143,Ischemic stroke
Cilostazol,pipeline-opus46,hard,14,10,0.0,0.2,0.0,0.1429,0.6111,Ischemic stroke; Heart failure
Cilostazol,pipeline-sonnet45,hard,14,8,0.0,0.125,0.0,0.0714,0.4375,Ischemic stroke
Cilostazol,websearch-gpt41,hard,14,4,0.0,0.0,0.0,0.0,,
cilostazol,websearch-gpt52,hard,14,0,0.0,0.0,0.0,0.0,,
Cilostazol,websearch-opus46,hard,14,5,0.0,0.2,0.0,0.0714,0.5,Ischemic Stroke (Secondary Prevention)
Cilostazol,websearch-sonnet45,hard,14,5,0.0,0.2,0.0,0.0714,0.75,Ischemic Stroke (Secondary Prevention)
Crizotinib,pipeline-gpt41,hard,16,3,1.0,0.6667,0.0625,0.1875,0.5833,non-small cell lung carcinoma; lung adenocarcinoma
Crizotinib,pipeline-gpt52,hard,16,4,1.0,0.75,0.0625,0.1875,0.6,non-small cell lung carcinoma; lung adenocarcinoma; adenocarcinoma
Crizotinib,pipeline-opus46,hard,16,12,1.0,0.7,0.0625,0.375,0.8429,Non-small cell lung carcinoma (ALK-rearranged); Non-small cell lung carcinoma (ROS1-rearranged); Lung adenocarcinoma; Anaplastic large cell lymphoma (ALK-positive); Non-small cell lung carcinoma (MET-altered); Neuroblastoma; Acute myeloid leukemia (ALK-fusion positive)
Crizotinib,pipeline-sonnet45,hard,16,6,1.0,0.8333,0.0625,0.375,0.9333,non-small cell lung carcinoma; lung adenocarcinoma; neuroblastoma; anaplastic large cell lymphoma; acute myeloid leukemia
Crizotinib,websearch-gpt41,hard,16,5,0.0,0.2,0.0,0.0625,0.125,Anaplastic Large Cell Lymphoma (ALK-positive)
Crizotinib,websearch-gpt52,hard,16,6,0.0,0.0,0.0,0.0,,
Crizotinib,websearch-opus46,hard,16,8,0.0,0.125,0.0,0.0625,0.1429,Neuroblastoma
Crizotinib,websearch-sonnet45,hard,16,5,0.0,0.2,0.0,0.0625,0.5,Anaplastic Large Cell Lymphoma
Danazol,pipeline-gpt41,easy,20,6,1.0,0.3333,0.05,0.1,0.6875,Endometriosis; Aplastic anemia
Danazol,pipeline-gpt52,easy,20,3,1.0,0.3333,0.05,0.05,0.3333,endometriosis
Danazol,pipeline-sonnet45,easy,20,6,1.0,0.5,0.05,0.2,0.8095,endometriosis; aplastic anemia; autoimmune thrombocytopenic purpura
Danazol,websearch-gpt41,easy,20,12,1.0,0.4,0.05,0.2,0.9531,Hereditary Angioedema; Endometriosis; Immune Thrombocytopenia (ITP); Autoimmune Hemolytic Anemia (AIHA)
Danazol,websearch-gpt52,easy,20,5,1.0,0.6,0.05,0.15,0.8333,Endometriosis; Hereditary angioedema (HAE); Menorrhagia / heavy menstrual bleeding (including endometrial hyperplasia-related bleeding)
Danazol,websearch-opus46,easy,20,9,1.0,0.5556,0.05,0.25,1.0,Endometriosis; Hereditary Angioedema (HAE); Aplastic Anemia / Bone Marrow Failure Syndromes; Immune Thrombocytopenic Purpura (ITP); Autoimmune Hemolytic Anemia (AIHA)
Danazol,websearch-sonnet45,easy,20,5,1.0,0.6,0.05,0.15,1.0,Endometriosis; Hereditary Angioedema; Immune Thrombocytopenia
DAPAGLIFLOZIN,pipeline-gpt41,medium,20,9,0.0,0.1111,0.0,0.05,0.4375,Insulin resistance/obesity
dapagliflozin,pipeline-gpt52,medium,20,12,0.0,0.0,0.0,0.0,0.2143,
dapagliflozin,pipeline-opus46,medium,20,16,0.0,0.1,0.0,0.05,0.5667,Insulin resistance
dapagliflozin,pipeline-sonnet45,medium,20,15,0.0,0.1,0.0,0.05,0.6429,insulin resistance
dapagliflozin,websearch-gpt41,medium,20,6,0.0,0.0,0.0,0.0,,
dapagliflozin,websearch-gpt52,medium,20,7,0.0,0.1429,0.0,0.05,0.3333,Obesity / overweight
Dapagliflozin,websearch-opus46,medium,20,8,0.0,0.125,0.0,0.05,0.1429,Obesity / Overweight
dapagliflozin,websearch-sonnet45,medium,20,6,0.0,0.0,0.0,0.0,,
Decitabine,pipeline-gpt41,easy,42,5,1.0,0.6,0.0238,0.0952,1.0,myelodysplastic syndrome; acute myeloid leukemia; chronic myelomonocytic leukemia
Decitabine,pipeline-gpt52,easy,42,7,1.0,0.5714,0.0238,0.119,0.85,myelodysplastic syndrome; acute myeloid leukemia; chronic myelomonocytic leukemia; neoplasm
Decitabine,pipeline-opus46,easy,42,9,1.0,0.5556,0.0238,0.119,0.8,"Myelodysplastic syndrome; Acute myeloid leukemia; Chronic myelomonocytic leukemia; Chronic myeloid leukemia; Neoplasm (solid tumors - breast cancer, hepatocellular carcinoma, oral squamous cell carcinoma, glioma)"
DECITABINE,pipeline-sonnet45,easy,42,6,1.0,0.6667,0.0238,0.119,0.9167,myelodysplastic syndrome; acute myeloid leukemia; chronic myelomonocytic leukemia; neoplasm
decitabine,websearch-gpt41,easy,42,5,1.0,0.8,0.0238,0.0952,0.9583,Myelodysplastic Syndromes (MDS); Acute Myeloid Leukemia (AML); Chronic Myelomonocytic Leukemia (CMML); Chronic Myeloid Leukemia (CML)
Decitabine,websearch-gpt52,easy,42,6,1.0,0.5,0.0238,0.0952,1.0,Myelodysplastic syndromes (MDS); Acute myeloid leukemia (AML); Chronic myelomonocytic leukemia (CMML)
Decitabine,websearch-opus46,easy,42,8,1.0,0.5,0.0238,0.0952,0.9375,Myelodysplastic Syndromes (MDS); Acute Myeloid Leukemia (AML); Chronic Myelomonocytic Leukemia (CMML); Chronic Myeloid Leukemia (CML)
Decitabine,websearch-sonnet45,easy,42,3,1.0,0.6667,0.0238,0.0714,1.0,Myelodysplastic Syndrome; Acute Myeloid Leukemia
Disulfiram,pipeline-gpt41,hard,28,7,0.0,0.2857,0.0,0.0714,0.75,melanoma; non-small cell lung carcinoma
Disulfiram,pipeline-gpt52,hard,28,3,0.0,0.3333,0.0,0.0357,0.5625,alcohol-related disorders
Disulfiram,pipeline-sonnet45,hard,28,10,0.0,0.4,0.0,0.1429,0.7143,alcohol-related disorders; non-small cell lung carcinoma; melanoma; breast neoplasm
Disulfiram,websearch-gpt41,hard,28,3,0.0,0.0,0.0,0.0,,
Disulfiram,websearch-gpt52,hard,28,0,0.0,0.0,0.0,0.0,,
Disulfiram,websearch-opus46,hard,28,8,0.0,0.125,0.0,0.0357,0.0714,Melanoma
Disulfiram,websearch-sonnet45,hard,28,5,0.0,0.0,0.0,0.0,,
Doxepin,pipeline-gpt41,hard,13,4,1.0,0.5,0.1538,0.2308,0.75,depressive disorder; Sleep Disorder
Doxepin,pipeline-gpt52,hard,13,4,1.0,0.5,0.1538,0.2308,1.0,depressive disorder; Sleep Disorder
Doxepin,pipeline-opus46,hard,13,5,1.0,0.4,0.1538,0.2308,0.75,Depressive Disorder; Pruritus (general)
Doxepin,pipeline-sonnet45,hard,13,4,0.0,0.5,0.0,0.2308,0.5,depressive disorder; Sleep Disorder
doxepin,websearch-gpt41,hard,13,5,1.0,0.4,0.1538,0.2308,0.6667,Major Depressive Disorder; Anxiety Disorders
Doxepin,websearch-opus46,hard,13,7,1.0,0.4286,0.1538,0.3077,0.8333,Major Depressive Disorder; Pruritus (Chronic Itch / Atopic Dermatitis); Anxiety Disorders (Generalized Anxiety)
Doxepin,websearch-sonnet45,hard,13,8,0.0,0.25,0.0,0.2308,0.7083,Major depressive disorder; Anxiety disorders
Epoprostenol,pipeline-gpt41,medium,17,2,1.0,1.0,0.0588,0.0588,1.0,pulmonary arterial hypertension; pulmonary hypertension
Epoprostenol,pipeline-gpt52,medium,17,2,1.0,1.0,0.0588,0.0588,1.0,pulmonary arterial hypertension; pulmonary hypertension
Epoprostenol,pipeline-opus46,medium,17,3,1.0,0.6667,0.0588,0.0588,1.0,Pulmonary arterial hypertension; Pulmonary hypertension
EPOPROSTENOL,pipeline-sonnet45,medium,17,6,1.0,0.3333,0.0588,0.0588,1.0,pulmonary arterial hypertension; pulmonary hypertension
Epoprostenol,websearch-gpt41,medium,17,6,1.0,0.1667,0.0588,0.0588,0.9,Pulmonary Arterial Hypertension
